epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7270.59,0.60826,3.66527,1.15146,0.01116,1,0.11962,0.11339,0.33006,3.43834,0.28236,0.00020625,0.00020625,0.00020625
2,18091.9,0.31509,3.24976,0.98156,0.19291,0.19282,0.09098,0.08136,0.42515,3.08854,0.35585,0.000410479,0.000410479,0.000410479
3,21664.5,0.33622,2.72986,0.98079,0.04555,0.51427,0.07575,0.05486,0.63232,3.25111,0.42398,0.000610583,0.000610583,0.000610583
4,21735.3,0.28958,2.29769,0.96456,0.06475,0.70926,0.14156,0.12667,0.38215,2.59311,0.24042,0.000606437,0.000606437,0.000606437
5,21789.7,0.2766,2.14307,0.96645,0.22125,0.39087,0.23052,0.20755,0.43537,2.42932,0.27546,0.00060025,0.00060025,0.00060025
6,21834.2,0.24844,2.01912,0.94522,0.31151,0.34185,0.24042,0.22427,0.31142,2.33235,0.20656,0.000594062,0.000594062,0.000594062
7,21878.8,0.23392,1.98411,0.93473,0.28771,0.42866,0.28625,0.26353,0.39302,2.19555,0.21237,0.000587875,0.000587875,0.000587875
8,21923.7,0.21284,1.92399,0.92617,0.48467,0.34648,0.25964,0.25344,0.33031,2.28218,0.22179,0.000581687,0.000581687,0.000581687
9,21969,0.20918,1.89381,0.93689,0.15115,0.57738,0.25436,0.23969,0.41787,2.25906,0.25297,0.0005755,0.0005755,0.0005755
10,22015.1,0.20336,1.89669,0.92854,0.25021,0.52242,0.29455,0.27281,0.47976,2.25294,0.264,0.000569313,0.000569313,0.000569313
11,22062.1,0.18607,1.85255,0.92043,0.33092,0.59306,0.31419,0.29429,0.34679,2.08106,0.21623,0.000563125,0.000563125,0.000563125
12,22110.7,0.18935,1.82551,0.93017,0.11314,0.42523,0.22722,0.20397,0.47459,2.39058,0.29338,0.000556938,0.000556938,0.000556938
13,22159.9,0.19006,1.82382,0.93302,0.15592,0.49657,0.2268,0.2081,0.39608,2.31994,0.22605,0.00055075,0.00055075,0.00055075
14,22209.3,0.17669,1.78142,0.91052,0.29298,0.51782,0.3075,0.2893,0.47254,2.21136,0.26711,0.000544563,0.000544563,0.000544563
15,22261.3,0.16899,1.77357,0.91658,0.2624,0.54296,0.34129,0.33276,0.3805,2.02762,0.22651,0.000538375,0.000538375,0.000538375
16,22311.1,0.17103,1.76835,0.91792,0.18698,0.59398,0.28784,0.27635,0.37369,2.07955,0.20497,0.000532187,0.000532187,0.000532187
17,22361.1,0.16589,1.74588,0.91785,0.21324,0.61734,0.31375,0.30652,0.28554,1.99732,0.16055,0.000526,0.000526,0.000526
18,22410.6,0.16443,1.74013,0.91524,0.18076,0.65095,0.29886,0.28405,0.36819,2.12036,0.19444,0.000519812,0.000519812,0.000519812
19,22460.3,0.16127,1.75158,0.92027,0.19608,0.5942,0.29776,0.29065,0.33406,2.09918,0.19772,0.000513625,0.000513625,0.000513625
20,22509.9,0.14449,1.71332,0.90702,0.30629,0.59414,0.38422,0.35743,0.36079,2.08261,0.18297,0.000507438,0.000507438,0.000507438
21,22559.9,0.1443,1.69981,0.91119,0.24566,0.57037,0.29683,0.28755,0.31147,2.18381,0.17747,0.00050125,0.00050125,0.00050125
22,22610.7,0.14858,1.6885,0.91521,0.19534,0.50278,0.31037,0.30131,0.34906,2.4074,0.18501,0.000495063,0.000495063,0.000495063
23,22662.6,0.16436,1.68537,0.93068,0.15161,0.54329,0.26834,0.24781,0.34217,2.4229,0.21111,0.000488875,0.000488875,0.000488875
24,22712.3,0.15212,1.68568,0.90854,0.2128,0.48448,0.27219,0.25806,0.38136,2.44749,0.20863,0.000482687,0.000482687,0.000482687
25,22761.9,0.14658,1.66088,0.91675,0.32972,0.49236,0.32318,0.31059,0.33258,1.97303,0.18732,0.0004765,0.0004765,0.0004765
26,22811.9,0.14213,1.6567,0.90643,0.48291,0.43572,0.31097,0.29413,0.33076,2.18574,0.18177,0.000470312,0.000470312,0.000470312
27,22861.6,0.14078,1.6599,0.90734,0.2362,0.63206,0.3697,0.36066,0.32985,1.90418,0.19252,0.000464125,0.000464125,0.000464125
28,22911.6,0.13651,1.62415,0.90158,0.28921,0.54357,0.36891,0.36515,0.30846,2.23888,0.159,0.000457938,0.000457938,0.000457938
29,22961.4,0.12958,1.63197,0.90186,0.21264,0.57202,0.37591,0.36964,0.35998,2.17264,0.20473,0.00045175,0.00045175,0.00045175
30,23011.9,0.14218,1.62775,0.9086,0.40951,0.41423,0.30488,0.29492,0.36858,2.40312,0.20525,0.000445562,0.000445562,0.000445562
31,23064,0.15264,1.64323,0.92145,0.27858,0.59421,0.3947,0.38226,0.3579,1.94063,0.1929,0.000439375,0.000439375,0.000439375
32,23113.4,0.13599,1.60151,0.90839,0.21276,0.72037,0.3884,0.3702,0.37423,2.07087,0.20212,0.000433187,0.000433187,0.000433187
33,23163,0.13355,1.58541,0.90898,0.23133,0.64297,0.42625,0.41165,0.30647,1.8789,0.17975,0.000427,0.000427,0.000427
34,23213.1,0.12765,1.56429,0.90809,0.2491,0.71149,0.38867,0.38355,0.30733,1.89941,0.17575,0.000420812,0.000420812,0.000420812
35,23262.7,0.13869,1.58792,0.91743,0.28355,0.60555,0.38239,0.37889,0.30808,1.93081,0.1605,0.000414625,0.000414625,0.000414625
36,23312.5,0.12882,1.60026,0.90826,0.22936,0.63451,0.44099,0.4353,0.2819,2.01164,0.15602,0.000408438,0.000408438,0.000408438
37,23362.4,0.12867,1.57162,0.90904,0.14717,0.64038,0.32843,0.31475,0.34127,1.97976,0.19867,0.00040225,0.00040225,0.00040225
38,23412.3,0.1208,1.56902,0.90483,0.21659,0.64822,0.35052,0.33753,0.32353,1.90682,0.16872,0.000396063,0.000396063,0.000396063
